Topic Name,Links,Information and Text,Cluster
1.4.2.tensor core operations,#tensor-core-operations,"1.4.2.tensor core operations volta introduced tensor cores to accelerate matrix multiply operations on mixed precision floating point data. turing adds acceleration for integer matrix multiply operations. the tensor cores are exposed as warp-level matrix operations in the cuda 10 c++ api. the api provides specialized matrix load, matrix multiply and accumulate, and matrix store operations, where each warp processes a small matrix fragment, allowing to efficiently use tensor cores from a cuda-c++ program. in practice, tensor cores are used to perform much larger 2d or higher dimensional matrix operations, built up from these smaller matrix fragments. each tensor core performs the matrix multiply-accumulate: d = a x b + c. the tensor cores support half precision matrix multiplication, where the matrix multiply inputs a and b are fp16 matrices, while the accumulation matrices c and d may be either fp16 or fp32 matrices. when accumulating in fp32, the fp16 multiply results in a full precision product that is then accumulated using fp32 addition. cuda 10 supports several fragment sizes, 16x16x16, 32x8x16, and 8x32x16 to use the tensor cores on volta or turing with fp16 inputs. any binary compiled for volta will run on turing, but volta binaries using tensor cores will only be able to reach half of turings tensor core peak performance. recompiling the binary specifically for turing would allow it to reach the peak performance. see the turing compatibility guide for more information. turings tensor core supports integer matrix multiply operations, which can operate on 8-bit, 4-bit and 1-bit integer inputs, with 32-bit integer accumulation. when operating on 8-bit inputs, cuda exposes fragment sizes of 16x16x16, 32x8x16, and 8x32x16. for sub-byte operations the fragment sizes available are 8x8x32 for 4-bit inputs, or 8x8x128 for 1-bit inputs. see thecuda c++ programming guidefor more information.",5
1.4.3.memory throughput,#memory-throughput,1.4.3.memory throughput,5
2.revision history,#revision-history,2.revision history version 1.0 version 1.1,9
3.notices,#notices,3.notices,9
3.1.notice,#notice,"3.1.notice this document is provided for information purposes only and shall not be regarded as a warranty of a certain functionality, condition, or quality of a product. nvidia corporation (nvidia) makes no representations or warranties, expressed or implied, as to the accuracy or completeness of the information contained in this document and assumes no responsibility for any errors contained herein. nvidia shall have no liability for the consequences or use of such information or for any infringement of patents or other rights of third parties that may result from its use. this document is not a commitment to develop, release, or deliver any material (defined below), code, or functionality. nvidia reserves the right to make corrections, modifications, enhancements, improvements, and any other changes to this document, at any time without notice. customer should obtain the latest relevant information before placing orders and should verify that such information is current and complete. nvidia products are sold subject to the nvidia standard terms and conditions of sale supplied at the time of order acknowledgement, unless otherwise agreed in an individual sales agreement signed by authorized representatives of nvidia and customer (terms of sale). nvidia hereby expressly objects to applying any customer general terms and conditions with regards to the purchase of the nvidia product referenced in this document. no contractual obligations are formed either directly or indirectly by this document. nvidia products are not designed, authorized, or warranted to be suitable for use in medical, military, aircraft, space, or life support equipment, nor in applications where failure or malfunction of the nvidia product can reasonably be expected to result in personal injury, death, or property or environmental damage. nvidia accepts no liability for inclusion and/or use of nvidia products in such equipment or applications and therefore such inclusion and/or use is at customers own risk. nvidia makes no representation or warranty that products based on this document will be suitable for any specified use. testing of all parameters of each product is not necessarily performed by nvidia. it is customers sole responsibility to evaluate and determine the applicability of any information contained in this document, ensure the product is suitable and fit for the application planned by customer, and perform the necessary testing for the application in order to avoid a default of the application or the product. weaknesses in customers product designs may affect the quality and reliability of the nvidia product and may result in additional or different conditions and/or requirements beyond those contained in this document. nvidia accepts no liability related to any default, damage, costs, or problem which may be based on or attributable to: (i) the use of the nvidia product in any manner that is contrary to this document or (ii) customer product designs. no license, either expressed or implied, is granted under any nvidia patent right, copyright, or other nvidia intellectual property right under this document. information published by nvidia regarding third-party products or services does not constitute a license from nvidia to use such products or services or a warranty or endorsement thereof. use of such information may require a license from a third party under the patents or other intellectual property rights of the third party, or a license from nvidia under the patents or other intellectual property rights of nvidia. reproduction of information in this document is permissible only if approved in advance by nvidia in writing, reproduced without alteration and in full compliance with all applicable export laws and regulations, and accompanied by all associated conditions, limitations, and notices. this document and all nvidia design specifications, reference boards, files, drawings, diagnostics, lists, and other documents (together and separately, materials) are being provided as is. nvidia makes no warranties, expressed, implied, statutory, or otherwise with respect to the materials, and expressly disclaims all implied warranties of noninfringement, merchantability, and fitness for a particular purpose. to the extent not prohibited by law, in no event will nvidia be liable for any damages, including without limitation any direct, indirect, special, incidental, punitive, or consequential damages, however caused and regardless of the theory of liability, arising out of any use of this document, even if nvidia has been advised of the possibility of such damages. notwithstanding any damages that customer might incur for any reason whatsoever, nvidias aggregate and cumulative liability towards customer for the products described herein shall be limited in accordance with the terms of sale for the product.",4
3.2.opencl,#opencl,3.2.opencl opencl is a trademark of apple inc. used under license to the khronos group inc.,4
3.3.trademarks,#trademarks,3.3.trademarks nvidia and the nvidia logo are trademarks or registered trademarks of nvidia corporation in the u.s. and other countries. other company and product names may be trademarks of the respective companies with which they are associated.,4
1.turing compatibility,#turing-compatibility,1.turing compatibility,6
1.1.about this document,#about-this-document,"1.1.about this document this application note, turing compatibility guide for cuda applications, is intended to help developers ensure that their nvidiacudaapplications will run on gpus based on the nvidiaturing architecture. this document provides guidance to developers who are already familiar with programming in cuda c++ and want to make sure that their software applications are compatible with turing.",0
1.2.application compatibility on turing,#application-compatibility-on-turing,"1.2.application compatibility on turing the nvidia cuda c++ compiler,nvcc, can be used to generate both architecture-specificcubinfiles and forward-compatibleptxversions of each kernel. each cubin file targets a specific compute-capability version and is forward-compatibleonly with gpu architectures of the same major version number. for example, cubin files that target compute capability 3.0 are supported on all compute-capability 3.x (kepler) devices but arenotsupported on compute-capability 5.x (maxwell) or 6.x (pascal) devices. for this reason, to ensure forward compatibility with gpu architectures introduced after the application has been released, it is recommended that all applications include ptx versions of their kernels. applications that already include ptx versions of their kernels should work as-is on turing-based gpus. applications that only support specific gpu architectures via cubin files, however, will need to be updated to provide turing-compatible ptx or cubins.",0
1.3.compatibility between volta and turing,#compatibility-between-volta-and-turing,"1.3.compatibility between volta and turing the turing architecture is based on voltas instruction set architectureisa7.0, extending it with new instructions. as a consequence, any binary that runs on volta will be able to run on turing (forward compatibility), but a turing binary will not be able to run on volta. please note that volta kernels using more than 64kb of shared memory (via the explicit opt-in, seecuda c++ programming guide) will not be able to launch on turing, as they would exceed turings shared memory capacity. most applications compiled for volta should run efficiently on turing, except if the application uses heavily the tensor cores, or if recompiling would allow use of new turing-specific instructions. voltas tensor core instructions can only reach half of the peak performance on turing. recompiling explicitly for turing is thus recommended.",5
1.4.verifying turing compatibility for existing applications,#verifying-turing-compatibility-for-existing-applications,1.4.verifying turing compatibility for existing applications the first step is to check that turing-compatible device code (at least ptx) is compiled into the application. the following sections show how to accomplish this for applications built with different cuda toolkit versions.,0
1.4.1.applications using cuda toolkit 8.0 or earlier,#applications-using-cuda-toolkit-8-0-or-earlier,"1.4.1.applications using cuda toolkit 8.0 or earlier cuda applications built using cuda toolkit versions 2.1 through 8.0 are compatible with turing as long as they are built to include ptx versions of their kernels. to test that ptx jit is working for your application, you can do the following: when starting a cuda application for the first time with the above environment flag, the cuda driver will jit-compile the ptx for each cuda kernel that is used into native cubin code. if you set the environment variable above and then launch your program and it works properly, then you have successfully verified turing compatibility.",0
1.4.2.applications using cuda toolkit 9.x,#applications-using-cuda-toolkit-9-x,1.4.2.applications using cuda toolkit 9.x cuda applications built using cuda toolkit 9.x are compatible with turing as long as they are built to include kernels in either volta-native cubin format (seecompatibility between volta and turing) or ptx format (seeapplications using cuda toolkit 8.0 or earlier) or both.,0
1.4.3.applications using cuda toolkit 10.0,#applications-using-cuda-toolkit-10-0,"1.4.3.applications using cuda toolkit 10.0 cuda applications built using cuda toolkit 10.0 are compatible with turing as long as they are built to include kernels in volta-native or turing-native cubin format (seecompatibility between volta and turing), or ptx format (seeapplications using cuda toolkit 8.0 or earlier), or both.",0
1.5.building applications with turing support,#building-applications-with-turing-support,"1.5.building applications with turing support when a cuda application launches a kernel, the cuda runtime determines the compute capability of each gpu in the system and uses this information to automatically find the best matching cubin or ptx version of the kernel that is available. if a cubin file supporting the architecture of the target gpu is available, it is used; otherwise, the cuda runtime will load the ptx and jit-compile that ptx to the gpus native cubin format before launching it. if neither is available, then the kernel launch will fail. the method used to build your application with either native cubin or at least ptx support for turing depend on the version of the cuda toolkit used. the main advantages of providing native cubins are as follows:",0
1.5.1.applications using cuda toolkit 8.0 or earlier,#id1,"1.5.1.applications using cuda toolkit 8.0 or earlier the compilers included in cuda toolkit 8.0 or earlier generate cubin files native to earlier nvidia architectures such as maxwell and pascal, but theycannotgenerate cubin files native to volta or turing architecture. to allow support for volta, turing and future architectures when using version 8.0 or earlier of the cuda toolkit, the compiler must generate a ptx version of each kernel. below are compiler settings that could be used to buildmykernel.cuto run on maxwell or pascal devices natively and on turing devices via ptx jit. windows mac/linux alternatively, you may be familiar with the simplifiednvcccommand-line option-arch=sm_xx, which is a shorthand equivalent to the following more explicit-gencode=command-line options used above.-arch=sm_xxexpands to the following: however, while the-arch=sm_xxcommand-line option does result in inclusion of a ptx back-end target by default, it can only specify a single target cubin architecture at a time, and it is not possible to use multiple-arch=options on the samenvcccommand line, which is why the examples above use-gencode=explicitly.",0
1.5.2.applications using cuda toolkit 9.x,#id2,"1.5.2.applications using cuda toolkit 9.x with versions 9.x of the cuda toolkit,nvcccan generate cubin files native to the volta architecture (compute capability 7.0). when using cuda toolkit 9.x, to ensure thatnvccwill generate cubin files for all recent gpu architectures as well as a ptx version for forward compatibility with future gpu architectures, specify the appropriate-gencode=parameters on thenvcccommand line as shown in the examples below. windows mac/linux also, note that cuda 9.0 removes support for compute capability 2.x (fermi) devices. any compute_2x and sm_2x flags need to be removed from your compiler commands.",0
1.5.3.applications using cuda toolkit 10.0,#id3,"1.5.3.applications using cuda toolkit 10.0 with version 10.0 of the cuda toolkit,nvcccan generate cubin files native to the turing architecture (compute capability 7.5). when using cuda toolkit 10.0, to ensure thatnvccwill generate cubin files for all recent gpu architectures as well as a ptx version for forward compatibility with future gpu architectures, specify the appropriate-gencode=parameters on thenvcccommand line as shown in the examples below. windows mac/linux",0
1.5.4.independent thread scheduling compatibility,#independent-thread-scheduling-compatibility,"1.5.4.independent thread scheduling compatibility the volta and turing architectures feature independent thread scheduling among threads in a warp. if the developer made assumptions about warp-synchronicity,1this feature can alter the set of threads participating in the executed code compared to previous architectures. please see compute capability 7.0 in thecuda c++ programming guidefor details and corrective actions. to aid migration volta and turing developers can opt-in to the pascal scheduling model with the following combination of compiler options.",5
1.license agreement for nvidia software development kits,#license-agreement-for-nvidia-software-development-kits,"1.license agreement for nvidia software development kits important noticeread before downloading, installing, copying or using the licensed software: this license agreement, including exhibits attached (agreement) is a legal agreement between you and nvidia corporation (nvidia) and governs your use of a nvidia software development kit (sdk). each sdk has its own set of software and materials, but here is a description of the types of items that may be included in a sdk: source code, header files, apis, data sets and assets (examples include images, textures, models, scenes, videos, native api input/output files), binary software, sample code, libraries, utility programs, programming code and documentation. this agreement can be accepted only by an adult of legal age of majority in the country in which the sdk is used. if you are entering into this agreement on behalf of a company or other legal entity, you represent that you have the legal authority to bind the entity to this agreement, in which case you will mean the entity you represent. if you dont have the required age or authority to accept this agreement, or if you dont accept all the terms and conditions of this agreement, do not download, install or use the sdk. you agree to use the sdk only for purposes that are permitted by (a) this agreement, and (b) any applicable law, regulation or generally accepted practices or guidelines in the relevant jurisdictions.",4
1.1.license,#license,1.1.license,9
1.1.1.license grant,#license-grant,"1.1.1.license grant subject to the terms of this agreement, nvidia hereby grants you a non-exclusive, non-transferable license, without the right to sublicense (except as expressly provided in this agreement) to:",4
1.1.2.distribution requirements,#distribution-requirements,1.1.2.distribution requirements these are the distribution requirements for you to exercise the distribution grant:,9
1.1.3.authorized users,#authorized-users,"1.1.3.authorized users you may allow employees and contractors of your entity or of your subsidiary(ies) to access and use the sdk from your secure network to perform work on your behalf. if you are an academic institution you may allow users enrolled or employed by the academic institution to access and use the sdk from your secure network. you are responsible for the compliance with the terms of this agreement by your authorized users. if you become aware that your authorized users didnt follow the terms of this agreement, you agree to take reasonable steps to resolve the non-compliance and prevent new occurrences.",9
1.1.4.pre-release sdk,#pre-release-sdk,"1.1.4.pre-release sdk the sdk versions identified as alpha, beta, preview or otherwise as pre-release, may not be fully functional, may contain errors or design flaws, and may have reduced or different security, privacy, accessibility, availability, and reliability standards relative to commercial versions of nvidia software and materials. use of a pre-release sdk may result in unexpected results, loss of data, project delays or other unpredictable damage or loss. you may use a pre-release sdk at your own risk, understanding that pre-release sdks are not intended for use in production or business-critical systems. nvidia may choose not to make available a commercial version of any pre-release sdk. nvidia may also choose to abandon development and terminate the availability of a pre-release sdk at any time without liability.",4
1.1.5.updates,#updates,"1.1.5.updates nvidia may, at its option, make available patches, workarounds or other updates to this sdk. unless the updates are provided with their separate governing terms, they are deemed part of the sdk licensed to you as provided in this agreement. you agree that the form and content of the sdk that nvidia provides may change without prior notice to you. while nvidia generally maintains compatibility between versions, nvidia may in some cases make changes that introduce incompatibilities in future versions of the sdk.",4
1.1.6.components under other licenses,#components-under-other-licenses,"1.1.6.components under other licenses the sdk may come bundled with, or otherwise include or be distributed with, nvidia or third-party components with separate legal notices or terms as may be described in proprietary notices accompanying the sdk. if and to the extent there is a conflict between the terms in this agreement and the license terms associated with the component, the license terms associated with the components control only to the extent necessary to resolve the conflict. subject to the other terms of this agreement, you may use the sdk to develop and test applications released under open source initiative (osi) approved open source software licenses.",4
1.1.7.reservation of rights,#reservation-of-rights,"1.1.7.reservation of rights nvidia reserves all rights, title, and interest in and to the sdk, not expressly granted to you under this agreement.",4
1.introduction,#introduction,"1.introduction this guide covers the basic instructions needed to install cuda and verify that a cuda application can run on each supported platform. these instructions are intended to be used on a clean installation of a supported platform. for questions which are not answered in this document, please refer to thewindows installation guideandlinux installation guide. the cuda installation packages can be found on thecuda downloads page.",0
2.windows,#windows,"2.windows when installing cuda on windows, you can choose between the network installer and the local installer. the network installer allows you to download only the files you need. the local installer is a stand-alone installer with a large initial download. for more details, refer to thewindows installation guide.",0
2.1.network installer,#network-installer,2.1.network installer perform the following steps to install cuda and verify the installation.,0
2.2.local installer,#local-installer,2.2.local installer perform the following steps to install cuda and verify the installation.,0
2.3.pip wheels - windows,#pip-wheels-windows,"2.3.pip wheels - windows nvidia provides python wheels for installing cuda through pip, primarily for using cuda with python. these packages are intended for runtime use and do not currently include developer tools (these can be installed separately). please note that with this installation method, cuda installation environment is managed via pip and additional care must be taken to set up your host environment to use cuda outside the pip environment. prerequisites to install wheels, you must first install thenvidia-pyindexpackage, which is required in order to set up your pip installation to fetch additional python modules from the nvidia ngc pypi repo. if your pip and setuptools python modules are not up-to-date, then use the following command to upgrade these python modules. if these python modules are out-of-date then the commands which follow later in this section may fail. you should now be able to install thenvidia-pyindexmodule. if your project is using arequirements.txtfile, then you can add the following line to yourrequirements.txtfile as an alternative to installing thenvidia-pyindexpackage: procedure install the cuda runtime package: optionally, install additional packages as listed below using the following command: metapackages the following metapackages will install the latest version of the named component on windows for the indicated cuda version. cu12 should be read as cuda12. these metapackages install the following packages:",0
2.4.conda,#conda,"2.4.conda the conda packages are available athttps://anaconda.org/nvidia. installation to perform a basic install of all cuda toolkit components using conda, run the following command: uninstallation to uninstall the cuda toolkit using conda, run the following command:",0
3.linux,#linux,"3.linux cuda on linux can be installed using an rpm, debian, runfile, or conda package, depending on the platform being installed on.",0
3.1.linux x86_64,#linux-x86-64,"3.1.linux x86_64 for development on the x86_64 architecture. in some cases, x86_64 systems may act as host platforms targeting other architectures. see thelinux installation guidefor more details.",9
3.1.1.redhat / centos,#redhat-centos,"3.1.1.redhat / centos when installing cuda on redhat or centos, you can choose between the runfile installer and the rpm installer. the runfile installer is only available as a local installer. the rpm installer is available as both a local installer and a network installer. the network installer allows you to download only the files you need. the local installer is a stand-alone installer with a large initial download. in the case of the rpm installers, the instructions for the local and network variants are the same. for more details, refer to thelinux installation guide.",0
3.1.2.fedora,#fedora,"3.1.2.fedora when installing cuda on fedora, you can choose between the runfile installer and the rpm installer. the runfile installer is only available as a local installer. the rpm installer is available as both a local installer and a network installer. the network installer allows you to download only the files you need. the local installer is a stand-alone installer with a large initial download. in the case of the rpm installers, the instructions for the local and network variants are the same. for more details, refer to thelinux installation guide.",0
3.1.3.suse linux enterprise server,#suse-linux-enterprise-server,"3.1.3.suse linux enterprise server when installing cuda on suse linux enterprise server, you can choose between the runfile installer and the rpm installer. the runfile installer is only available as a local installer. the rpm installer is available as both a local installer and a network installer. the network installer allows you to download only the files you need. the local installer is a stand-alone installer with a large initial download. in the case of the rpm installers, the instructions for the local and network variants are the same. for more details, refer to thelinux installation guide.",0
3.1.4.opensuse,#opensuse,"3.1.4.opensuse when installing cuda on opensuse, you can choose between the runfile installer and the rpm installer. the runfile installer is only available as a local installer. the rpm installer is available as both a local installer and a network installer. the network installer allows you to download only the files you need. the local installer is a stand-alone installer with a large initial download. in the case of the rpm installers, the instructions for the local and network variants are the same. for more details, refer to thelinux installation guide.",0
3.1.5.amazon linux 2023,#amazon-linux-2023,3.1.5.amazon linux 2023,9
3.1.6.pip wheels - linux,#pip-wheels-linux,"3.1.6.pip wheels - linux nvidia provides python wheels for installing cuda through pip, primarily for using cuda with python. these packages are intended for runtime use and do not currently include developer tools (these can be installed separately). please note that with this installation method, cuda installation environment is managed via pip and additional care must be taken to set up your host environment to use cuda outside the pip environment. prerequisites to install wheels, you must first install thenvidia-pyindexpackage, which is required in order to set up your pip installation to fetch additional python modules from the nvidia ngc pypi repo. if your pip and setuptools python modules are not up-to-date, then use the following command to upgrade these python modules. if these python modules are out-of-date then the commands which follow later in this section may fail. you should now be able to install thenvidia-pyindexmodule. if your project is using arequirements.txtfile, then you can add the following line to yourrequirements.txtfile as an alternative to installing thenvidia-pyindexpackage: procedure install the cuda runtime package: optionally, install additional packages as listed below using the following command: metapackages the following metapackages will install the latest version of the named component on linux for the indicated cuda version. cu12 should be read as cuda12. these metapackages install the following packages:",0
3.1.7.conda,#x86-64-conda,"3.1.7.conda the conda packages are available athttps://anaconda.org/nvidia. installation to perform a basic install of all cuda toolkit components using conda, run the following command: uninstallation to uninstall the cuda toolkit using conda, run the following command:",0
3.1.8.wsl,#wsl,3.1.8.wsl these instructions must be used if you are installing in a wsl environment. do not use the ubuntu instructions in this case.,9
3.1.9.ubuntu,#ubuntu,"3.1.9.ubuntu when installing cuda on ubuntu, you can choose between the runfile installer and the debian installer. the runfile installer is only available as a local installer. the debian installer is available as both a local installer and a network installer. the network installer allows you to download only the files you need. the local installer is a stand-alone installer with a large initial download. in the case of the debian installers, the instructions for the local and network variants are the same. for more details, refer to thelinux installation guide.",0
3.1.10.debian,#debian,"3.1.10.debian when installing cuda on debian 10, you can choose between the runfile installer and the debian installer. the runfile installer is only available as a local installer. the debian installer is available as both a local installer and a network installer. the network installer allows you to download only the files you need. the local installer is a stand-alone installer with a large initial download. for more details, refer to thelinux installation guide.",0
4.notices,#notices,4.notices,9
4.1.notice,#notice,"4.1.notice this document is provided for information purposes only and shall not be regarded as a warranty of a certain functionality, condition, or quality of a product. nvidia corporation (nvidia) makes no representations or warranties, expressed or implied, as to the accuracy or completeness of the information contained in this document and assumes no responsibility for any errors contained herein. nvidia shall have no liability for the consequences or use of such information or for any infringement of patents or other rights of third parties that may result from its use. this document is not a commitment to develop, release, or deliver any material (defined below), code, or functionality. nvidia reserves the right to make corrections, modifications, enhancements, improvements, and any other changes to this document, at any time without notice. customer should obtain the latest relevant information before placing orders and should verify that such information is current and complete. nvidia products are sold subject to the nvidia standard terms and conditions of sale supplied at the time of order acknowledgement, unless otherwise agreed in an individual sales agreement signed by authorized representatives of nvidia and customer (terms of sale). nvidia hereby expressly objects to applying any customer general terms and conditions with regards to the purchase of the nvidia product referenced in this document. no contractual obligations are formed either directly or indirectly by this document. nvidia products are not designed, authorized, or warranted to be suitable for use in medical, military, aircraft, space, or life support equipment, nor in applications where failure or malfunction of the nvidia product can reasonably be expected to result in personal injury, death, or property or environmental damage. nvidia accepts no liability for inclusion and/or use of nvidia products in such equipment or applications and therefore such inclusion and/or use is at customers own risk. nvidia makes no representation or warranty that products based on this document will be suitable for any specified use. testing of all parameters of each product is not necessarily performed by nvidia. it is customers sole responsibility to evaluate and determine the applicability of any information contained in this document, ensure the product is suitable and fit for the application planned by customer, and perform the necessary testing for the application in order to avoid a default of the application or the product. weaknesses in customers product designs may affect the quality and reliability of the nvidia product and may result in additional or different conditions and/or requirements beyond those contained in this document. nvidia accepts no liability related to any default, damage, costs, or problem which may be based on or attributable to: (i) the use of the nvidia product in any manner that is contrary to this document or (ii) customer product designs. no license, either expressed or implied, is granted under any nvidia patent right, copyright, or other nvidia intellectual property right under this document. information published by nvidia regarding third-party products or services does not constitute a license from nvidia to use such products or services or a warranty or endorsement thereof. use of such information may require a license from a third party under the patents or other intellectual property rights of the third party, or a license from nvidia under the patents or other intellectual property rights of nvidia. reproduction of information in this document is permissible only if approved in advance by nvidia in writing, reproduced without alteration and in full compliance with all applicable export laws and regulations, and accompanied by all associated conditions, limitations, and notices. this document and all nvidia design specifications, reference boards, files, drawings, diagnostics, lists, and other documents (together and separately, materials) are being provided as is. nvidia makes no warranties, expressed, implied, statutory, or otherwise with respect to the materials, and expressly disclaims all implied warranties of noninfringement, merchantability, and fitness for a particular purpose. to the extent not prohibited by law, in no event will nvidia be liable for any damages, including without limitation any direct, indirect, special, incidental, punitive, or consequential damages, however caused and regardless of the theory of liability, arising out of any use of this document, even if nvidia has been advised of the possibility of such damages. notwithstanding any damages that customer might incur for any reason whatsoever, nvidias aggregate and cumulative liability towards customer for the products described herein shall be limited in accordance with the terms of sale for the product.",4
4.2.opencl,#opencl,4.2.opencl opencl is a trademark of apple inc. used under license to the khronos group inc.,4
4.3.trademarks,#trademarks,4.3.trademarks nvidia and the nvidia logo are trademarks or registered trademarks of nvidia corporation in the u.s. and other countries. other company and product names may be trademarks of the respective companies with which they are associated.,4
1.2.limitations,#limitations,1.2.limitations the following license limitations apply to your use of the sdk:,9
1.3.ownership,#ownership,1.3.ownership,9
1.4.no warranties,#no-warranties,"1.4.no warranties the sdk is provided by nvidia as is and with all faults. to the maximum extent permitted by law, nvidia and its affiliates expressly disclaim all warranties of any kind or nature, whether express, implied or statutory, including, but not limited to, any warranties of merchantability, fitness for a particular purpose, title, non-infringement, or the absence of any defects therein, whether latent or patent. no warranty is made on the basis of trade usage, course of dealing or course of trade.",4
1.5.limitation of liability,#limitation-of-liability,"1.5.limitation of liability to the maximum extent permitted by law, nvidia and its affiliates shall not be liable for any (i) special, incidental, punitive or consequential damages, or (ii) damages for (a) any lost profits, loss of use, loss of data or loss of goodwill, or (b) the costs of procuring substitute products, arising out of or in connection with this agreement or the use or performance of the sdk, whether such liability arises from any claim based upon breach of contract, breach of warranty, tort (including negligence), product liability or any other cause of action or theory of liability. in no event will nvidias and its affiliates total cumulative liability under or arising out of this agreement exceed us$10.00. the nature of the liability or the number of claims or suits shall not enlarge or extend this limit. these exclusions and limitations of liability shall apply regardless if nvidia or its affiliates have been advised of the possibility of such damages, and regardless of whether a remedy fails its essential purpose. these exclusions and limitations of liability form an essential basis of the bargain between the parties, and, absent any of these exclusions or limitations of liability, the provisions of this agreement, including, without limitation, the economic terms, would be substantially different.",4
1.6.termination,#termination,1.6.termination,9
1.7.general,#general,"1.7.general if you wish to assign this agreement or your rights and obligations, including by merger, consolidation, dissolution or operation of law, contact nvidia to ask for permission. any attempted assignment not approved by nvidia in writing shall be void and of no effect. nvidia may assign, delegate or transfer this agreement and its rights and obligations, and if to a non-affiliate you will be notified. you agree to cooperate with nvidia and provide reasonably requested information to verify your compliance with this agreement. this agreement will be governed in all respects by the laws of the united states and of the state of delaware, without regard to the conflicts of laws principles. the united nations convention on contracts for the international sale of goods is specifically disclaimed. you agree to all terms of this agreement in the english language. the state or federal courts residing in santa clara county, california shall have exclusive jurisdiction over any dispute or claim arising out of this agreement. notwithstanding this, you agree that nvidia shall still be allowed to apply for injunctive remedies or an equivalent type of urgent legal relief in any jurisdiction. if any court of competent jurisdiction determines that any provision of this agreement is illegal, invalid or unenforceable, such provision will be construed as limited to the extent necessary to be consistent with and fully enforceable under the law and the remaining provisions will remain in full force and effect. unless otherwise specified, remedies are cumulative. each party acknowledges and agrees that the other is an independent contractor in the performance of this agreement. the sdk has been developed entirely at private expense and is commercial items consisting of commercial computer software and commercial computer software documentation provided with restricted rights. use, duplication or disclosure by the u.s. government or a u.s. government subcontractor is subject to the restrictions in this agreement pursuant to dfars 227.7202-3(a) or as set forth in subparagraphs (c)(1) and (2) of the commercial computer software - restricted rights clause at far 52.227-19, as applicable. contractor/manufacturer is nvidia, 2788 san tomas expressway, santa clara, ca 95051. the sdk is subject to united states export laws and regulations. you agree that you will not ship, transfer or export the sdk into any country, or use the sdk in any manner, prohibited by the united states bureau of industry and security or economic sanctions regulations administered by the u.s. department of treasurys office of foreign assets control (ofac), or any applicable export laws, restrictions or regulations. these laws include restrictions on destinations, end users and end use. by accepting this agreement, you confirm that you are not located in a country currently embargoed by the u.s. or otherwise prohibited from receiving the sdk under u.s. law. any notice delivered by nvidia to you under this agreement will be delivered via mail, email or fax. you agree that any notices that nvidia sends you electronically will satisfy any legal communication requirements. please direct your legal notices or other correspondence to nvidia corporation, 2788 san tomas expressway, santa clara, california 95051, united states of america, attention: legal department. this agreement and any exhibits incorporated into this agreement constitute the entire agreement of the parties with respect to the subject matter of this agreement and supersede all prior negotiations or documentation exchanged between the parties relating to this sdk license. any additional and/or conflicting terms on documents issued by you are null, void, and invalid. any amendment or waiver under this agreement shall be in writing and signed by representatives of both parties.",4
